Feature,Importance
MonthlyIncome,0.07674600607503973
Age,0.06472997046194671
YearsAtCompany,0.051133369000036316
TotalWorkingYears,0.050205066646292755
YearsWithCurrManager,0.046301910588624075
DailyRate,0.04617424736056655
MonthlyRate,0.04531983188256294
HourlyRate,0.04405743321399481
DistanceFromHome,0.04245817774423408
StockOptionLevel,0.04059703383304833
OverTime_Yes,0.0404304972992689
NumCompaniesWorked,0.035441521236995
PercentSalaryHike,0.033761155382242405
YearsInCurrentRole,0.02868239877182194
EnvironmentSatisfaction,0.02762409188212215
JobLevel,0.026134057119540078
RelationshipSatisfaction,0.025964218818697846
WorkLifeBalance,0.023556441549493788
JobSatisfaction,0.023118129389943332
YearsSinceLastPromotion,0.023054568686601863
TrainingTimesLastYear,0.02063120809008563
Education,0.019591273804750578
JobInvolvement,0.017385779336179095
MaritalStatus_Single,0.013204734734438468
JobRole_Sales Executive,0.012941244487168263
Department_Research & Development,0.01259818842309346
Gender_Male,0.010918763893956159
Department_Sales,0.009117395712250422
JobRole_Laboratory Technician,0.008742676067533758
EducationField_Medical,0.008583363885592726
JobRole_Research Scientist,0.008514112728721141
BusinessTravel_Travel_Frequently,0.008442910387103895
MaritalStatus_Married,0.008346452473713876
EducationField_Life Sciences,0.007361244380421971
EducationField_Marketing,0.005754804338364838
BusinessTravel_Travel_Rarely,0.005661903044260398
EducationField_Technical Degree,0.005011514720301459
JobRole_Manufacturing Director,0.004050571498321158
JobRole_Sales Representative,0.0036905992337312294
PerformanceRating,0.003503792610558683
JobRole_Manager,0.0033655036571431114
EducationField_Other,0.0025592641517008354
JobRole_Human Resources,0.0023295598882781313
JobRole_Research Director,0.0022030115092570323
